base_layer,distilled_layer,cka
28,1,0.6108030676841736
28,2,0.5848655700683594
28,3,0.600545346736908
28,4,0.5873552560806274
28,5,0.5722483992576599
28,6,0.597405195236206
28,7,0.5951657295227051
28,8,0.5757855772972107
28,9,0.5657352209091187
28,10,0.5473104119300842
28,11,0.5583342909812927
28,12,0.541425347328186
28,13,0.5459279417991638
28,14,0.5209710001945496
28,15,0.5295521020889282
28,16,0.5101434588432312
28,17,0.5084694027900696
28,18,0.5108269453048706
28,19,0.49943771958351135
28,20,0.4825534224510193
28,21,0.4583528935909271
28,22,0.4525828957557678
28,23,0.4337499737739563
28,24,0.42872852087020874
28,25,0.4375408887863159
28,26,0.4499662518501282
28,27,0.4784035086631775
28,28,0.652887225151062
